target,feature_set,n_features,model,auc,sensitivity,specificity,f1,sens@90spec,sens@95spec,n_train_pos,n_train_neg,n_test_pos,n_test_neg
STTC,F7: +specparam,54,RF,0.8208969038767105,0.5955734406438632,0.8581599123767798,0.5627376425855514,0.5271629778672032,0.386317907444668,1903,7242,497,1826
STTC,F7: +specparam,54,GBM,0.8322365738792008,0.3702213279678068,0.9583789704271632,0.4861294583883752,0.5513078470824949,0.4104627766599598,1903,7242,497,1826
HYP,F0: age+sex,2,LogReg,0.6746596776717259,0.6890756302521008,0.5416210295728368,0.1579961464354528,0.26932773109243696,0.1092436974789916,415,7242,119,1826
HYP,F0: age+sex,2,RF,0.6228842029692491,0.5630252100840336,0.5821467688937568,0.14120126448893572,0.20603064755313893,0.15126050420168066,415,7242,119,1826
HYP,F0: age+sex,2,GBM,0.6360552983515422,0.0,1.0,0.0,0.21911764705882356,0.14285714285714285,415,7242,119,1826
HYP,F1: +β_mean,3,LogReg,0.6655176857161266,0.5966386554621849,0.6161007667031764,0.15937149270482603,0.2689075630252101,0.16806722689075632,415,7242,119,1826
HYP,F1: +β_mean,3,RF,0.6447692987381152,0.3865546218487395,0.7858707557502739,0.16546762589928057,0.2605042016806723,0.13445378151260504,415,7242,119,1826
HYP,F1: +β_mean,3,GBM,0.634398556794021,0.025210084033613446,0.9928806133625411,0.044444444444444446,0.21008403361344538,0.10084033613445378,415,7242,119,1826
HYP,F2: +β_summary,6,LogReg,0.6852237061308641,0.5882352941176471,0.6489594742606791,0.1686746987951807,0.3277310924369748,0.18487394957983194,415,7242,119,1826
HYP,F2: +β_summary,6,RF,0.6651725312249762,0.3445378151260504,0.8630887185104053,0.2,0.2689075630252101,0.13445378151260504,415,7242,119,1826
HYP,F2: +β_summary,6,GBM,0.6615714193673088,0.025210084033613446,0.9939759036144579,0.045112781954887216,0.23529411764705882,0.15966386554621848,415,7242,119,1826
HYP,F3: +regional,10,LogReg,0.7076081253969276,0.6302521008403361,0.6757940854326396,0.19083969465648856,0.31932773109243695,0.19327731092436976,415,7242,119,1826
HYP,F3: +regional,10,RF,0.6755179618397195,0.21008403361344538,0.9200438116100766,0.1724137931034483,0.2689075630252101,0.14285714285714285,415,7242,119,1826
HYP,F3: +regional,10,GBM,0.6738888326414904,0.025210084033613446,0.9939759036144579,0.045112781954887216,0.2689075630252101,0.17647058823529413,415,7242,119,1826
HYP,F4: +all_leads,22,LogReg,0.7225924323727301,0.5798319327731093,0.7020810514786419,0.1885245901639344,0.31932773109243695,0.16806722689075632,415,7242,119,1826
